Xbox Game Title	Title ID	Title	XDK version
Burnout Revenge	0x45410076	Burnout Revenge	5849
C.A.T. Cyber Attack Team	0x4D450001	C.A.T. ～サイバーアタックチーム～	5233
Cabela's Big Game Hunter 2005 Adventures	0x4156003E	Cabela's Big Game Hunter 2005 Adventures	5849
Cabela's Dangerous Hunts	0x41560019	Cabela's Dangerous Hunts	5659
Cabela's Dangerous Hunts 2	0x41560052	Dangerous 2	5849
Cabela's Deer Hunt 2005 Season	0x4156003F	Cabela's Deer Hunt 2005 Season	5849
Cabela's Deer Hunt: 2004 Season	0x41560030	Deer Hunt 2004 Season	5558
Cabela's Outdoor Adventures 06	0x4156004D	Cabela's Outdoor Adventures	5849
Call of Cthulhu: Dark Corners of the Earth	0x42530007	Call of Cthulhu: Dark Corners of the Ear	5849
Call of Duty 2: Big Red One	0x41560051	Call of Duty 2: Big Red One	5849
Call of Duty 3	0x4156005D	Call of Duty 3	5849
Call of Duty: Finest Hour	0x4156002A	Call of Duty: Finest Hour	5849
Capcom Classics Collection	0x43430018	Capcom Classics Collection	5849
Capcom Classics Collection Volume 2	0x43430019	Capcom Classics Vol. 2	5849
Capcom Fighting Evolution (NTSC)	0x43430010	Capcom Fighting Evo./Jam	5849
Capcom Fighting Jam (NTSC-J)	0x43430010	Capcom Fighting Evo./Jam	5849
CAPCOM VS. SNK2 EO	0x43430008	CAPCOM VS. SNK2 EO	5028
Carmen Sandiego: The Secret of the Stolen Drums	0x424D0006	Carmen SanDiego	5659
Cars	0x545100F2	Cars	5849
Carve	0x54540010	Carve	5659
Castlevania: Curse of Darkness	0x4B4E002D	Castlevania CoD	5849
Catwoman	0x4541005C	Catwoman	5849
Cel Damage	0x45410011	Cel Damage	3925
Celebrity Deathmatch	0x5454000B	Celebrity Deathmatch	5233
Championship Manager - Season 01-02	0x45530002	Championship Manager	4134
Championship Manager 2002-2003	0x4553000C	CM 2002/03	4928
Championship Manager 2006 	0x53430100	Championship Manager 2006	5849
Championship Manager 5	0x4553001A	Championship Manager 5	5849
Charlie and the Chocolate Factory	0x54540081	Charlie and the Chocolate Factory	5849
Chase - Hollywood Stunt Driver	0x424D0001	Chase	4721
Chessmaster	0x55530039	Chessmaster	5849
Chicago Enforcer	0x4B420005	Chicago Enforcer	5849
CIRCUS DRIVE			5233
Circus Maximus	0x45430001	CircusMaximus	4134
Classified: The Sentinel Crisis	0x5454007D	Classified: The Sentinel Crisis	5849
Close Combat: First to Fight	0x54540012	Close Combat: First to Fight	5849
Club Football 2005 Arsenal	0x434D0031	Club Football 2005	5849
Club Football 2005 Celtic	0x434D0035	Club Football 2005	5849
Codename: Kids Next Door	0x5454008A	Codename: Kids Next Door	5849
Cold Fear	0x5553004B	Cold Fear	5849
Cold War	0x44430004	Cold War	5849
Colin McRae Rally 04	0x434D0010	Colin McRae Rally 04	5659
Colin McRae Rally 2005	0x434D002B	Colin McRae Rally 2005	5849
Colin McRae Rally 3	0x434D0001	Colin McRae Rally 3	4831
College Hoops 2K6	0x54540091	Hoops 2K6	5849
College Hoops 2K7	0x545400AF	Hoops 2K7	5849
Combat Elite: WWII Paratroopers	0x53500001	Combat Elite	5849
Combat Task Force 121	0x47560003	COMBAT	5849
Commandos 2	0x45530008	Commandos 2	4432
Commandos Strike Force	0x534300F9	Commandos: Strike Force	5849
Conan	0x544D0008	Conan	5849
Conflict Desert Storm II: Back to Baghdad	0x53430006	CDS II	5558
Conflict: Desert Storm	0x54540005	Conflict: Desert Storm	4531
Conflict: Global Terror	0x5343000C	Conflict: Global	5849
Conflict: Vietnam	0x5343000A	Conflict:Vietnam	5849
Conker: Live & Reloaded	0x4D530051	Conker: Live and Reloaded	5849
Conspiracy: WoMD	0x4F580001	Conspiracy: WoMD	5849
Constantine	0x5343000F	Constantine	5849
Corvette	0x544D000B	Corvette	5659
Counter Terrorist Special Forces - Fire for Effect	0x48500002	CT Special Forces	5849
Counter-Strike	0x4D530036	Counter-Strike	5659
Crash Bandicoot 4 - Sakuretsu! Majin Power	0x4B4E0011	Crash Bandicoot Japan	4432
Crash Bandicoot: The Wrath of Cortex	0x56550003	Crash Bandicoot: tWoC	4361
Crash 'N' Burn	0x45530014	Crash 'n' Burn	5849
Crash Nitro Kart	0x5655001F	Crash Nitro Kart	5558
Crash Tag Team Racing	0x56550041	Crash Tag Team Racing	5849
Crash Twinsanity	0x56550036	Crash Twinsanity	5849
Crazy Taxi 3	0x53450004	CRAZY TAXI 3 High Roller	4531
Crime Life: Gang Wars	0x4B4E001C	CrimeLife	5849
Crimson Sea	0x4B4F0002	CrimsonSea	4928
Crimson Skies: High Road to Revenge	0x4D530021	Crimson Skies	5659
Crouching Tiger Hidden Dragon	0x55530020	CROUCHING TIGER	5659
Crusty Demons: Freestyle Moto X	0x464C0002	Crusty Demons	5849
CSI: Crime Scene Investigation	0x5553003F	CSI 	5849
Curious George	0x4E4D0019	Curious George	5849
Curse	0x57450005	Curse - The Eye of Isis	5558
Daemon Vector	0x58500001	鬼疫	5849
Dai Senryaku VII: Modern Military Tactics	0x434B0001	Dai Senryaku VII	5849
Daisenryaku VII	0x434B0001	大戦略VII	5344
Dakar Rally 2 - Worlds Ultimate Rally	0x41430017	Dakar 2	5344
Dance Dance Revolution Ultramix 2	0x4B4E0021	DDR ULTRAMIX 2	5849
Dance Dance Revolution Ultramix 3	0x4B4E0029	DDR ULTRAMIX 3	5849
Dance Dance Revolution Ultramix 4	0x4B4E0037	DDR ULTRAMIX 4	5849
Dance Dance Revolution: Ultramix	0x4B4E0019	DDRULTRAMIX	5659
Dance UK	0x42420002	Dance: UK	5849
Dancing Stage Unleashed	0x4B4E001D	Dancing Stage Unleashed	5659
Dark Angel	0x56560010	Dark Angel Release	4721
Dark Summit	0x54510004	Dark Summit	4034
Darkwatch	0x43430016	Darkwatch	5849
David Beckham Soccer	0x52410003	David Beckham Soccer	4361
Dead Man’s Hand	0x49470027	Dead Man's Hand	5788
Dead or Alive 3	0x54430001	Dead or Alive 3	3925
Dead or Alive Ultimate	0x54430006	DOAU1	5849
Dead or Alive Ultimate II	0x54430006	DEAD OR ALIVE ULTIMATE	5849
